species,article,months,views_total,views_mean_monthly
Helicolestes hamatus,Slender-billed kite,120,22276,185.63
Henicopernis infuscatus,Black honey buzzard,120,20126,167.72
Henicopernis longicauda,Long-tailed honey buzzard,120,15988,133.23
Hieraaetus ayresii,Ayres's hawk-eagle,120,41813,348.44
Hieraaetus morphnoides,Little eagle,120,168632,1405.27
Hieraaetus pennatus,Booted eagle,120,336360,2803.00
Hieraaetus wahlbergi,Wahlberg's eagle,120,69958,582.98
Hieraaetus weiskei,Pygmy eagle,120,44166,368.05
Icthyophaga humilis,Lesser fish eagle,120,61484,512.37
Icthyophaga ichthyaetus,Grey-headed fish eagle,120,114599,954.99
Ictinaetus malaiensis,Black eagle,120,498927,4157.73
Ictinia mississippiensis,Mississippi kite,120,536745,4472.88
Ictinia plumbea,Plumbeous kite,120,31326,261.05
Kaupifalco monogrammicus,Lizard buzzard,120,54509,454.24
