species,attractiveness,n_sex_rows
Antilophia bokermanni,7.1648,2
Antilophia galeata,7.2770,1
Antrostomus arizonae,5.3734,1
Antrostomus badius,5.3560,1
Antrostomus carolinensis,5.3477,2
Antrostomus noctitherus,5.7390,1
Antrostomus ridgwayi,5.1124,1
Antrostomus rufus,5.8214,2
Antrostomus salvini,5.3605,1
Antrostomus saturatus,5.7842,1
Antrostomus sericocaudatus,5.5177,1
Antrostomus vociferus,5.5735,1
Anumara forbesi,5.7354,1
Anumbius annumbi,5.0545,1
Anurophasis monorthonyx,5.9703,1
Apalharpactes mackloti,7.5006,1
Apalharpactes reinwardtii,7.3400,1
Apalis alticola,5.0903,1
Apalis argentea,5.6977,1
Apalis bamendae,5.1753,1
Apalis binotata,5.9090,1
Apalis chapini,5.6284,1
Apalis chariessa,5.8565,2
Apalis chirindensis,4.6815,1
Apalis cinerea,5.4695,1
Apalis flavigularis,5.5810,1
Apalis fuscigularis,4.9275,1
Apalis goslingi,4.8482,1
Apalis jacksoni,6.2512,1
Apalis karamojae,5.2755,1
Apalis lynesi,5.5153,1
Apalis melanocephala,5.3260,1
Apalis nigriceps,5.9159,2
Apalis personata,5.5901,1
Apalis porphyrolaema,5.7928,1
Apalis ruddi,6.1287,1
Apalis rufogularis,4.9279,2
Apalis sharpii,5.6982,1
Apalis thoracica,5.3174,1
Apaloderma aequatoriale,6.8107,1
Apaloderma narina,7.3973,1
Apaloderma vittatum,7.3938,1
Apalopteron familiare,6.8828,1
Aphanotriccus audax,5.5515,1
Aphanotriccus capitalis,6.2734,1
Aphantochroa cirrochloris,6.7414,1
Aphelocephala leucopsis,4.9427,1
Aphelocephala nigricincta,5.5756,1
Aphelocephala pectoralis,5.4026,1
Aphelocoma coerulescens,6.8628,1
Aphelocoma ultramarina,6.2834,1
Aphelocoma unicolor,7.4322,1
Aphelocoma wollweberi,6.0481,1
Aphrastura masafucrae,5.8684,1
Aphrastura spinicauda,6.6860,1
Aphrodroma brevirostris,5.3454,1
Aplonis atrifusca,4.7574,1
Aplonis brunneicapillus,4.8982,1
Aplonis cantoroides,5.5384,1
Aplonis cinerascens,4.8816,1
Aplonis crassa,4.6912,1
Aplonis dichroa,5.0890,1
Aplonis feadensis,6.0384,1
Aplonis grandis,5.5693,1
Aplonis insularis,5.2897,1
Aplonis magna,5.7994,1
Aplonis minor,5.3752,1
Aplonis mysolensis,5.4233,1
Aplonis mystacea,4.8474,1
Aplonis opaca,5.6290,1
Aplonis panayensis,5.3856,1
Aplonis striata,5.1531,1
Aplonis tabuensis,5.0101,1
Aplonis zelandica,4.8131,1
Aplopelia larvata,5.5907,1
Aprositornis disjuncta,5.6577,1
Aprosmictus erythropterus,7.0475,1
Aprosmictus jonquillaceus,6.4247,1
Aptenodytes forsteri,7.4236,1
Aptenodytes patagonicus,7.7114,1
Apteryx australis,5.8536,1
Apteryx haastii,5.5136,2
Apteryx mantelli,6.0339,1
Apteryx owenii,6.7414,1
Apteryx rowi,5.6572,1
Apus acuticauda,5.0361,1
Apus affinis,5.8252,1
Apus alexandri,5.4836,1
Apus apus,5.4896,1
Apus balstoni,5.5656,1
Apus batesi,5.1126,1
Apus berliozi,5.2167,1
Apus bradfieldi,5.3992,1
Apus caffer,5.8464,1
Apus horus,5.5343,1
Apus niansae,4.8104,1
Apus nipalensis,5.4625,1
Apus pallidus,5.7831,1
Apus unicolor,6.0099,1
Aquila adalberti,6.8914,1
Aquila africana,6.3765,1
Aquila audax,6.7744,1
Aquila chrysaetos,6.9706,2
Aquila fasciata,5.7315,1
Aquila gurneyi,6.8478,1
Aquila heliaca,7.2801,1
Aquila nipalensis,7.0003,1
Aquila rapax,6.8030,1
Aquila spilogaster,6.4003,1
Aquila verreauxii,6.8446,1
Ara ambiguus,6.9081,1
Ara ararauna,7.3087,1
Ara chloropterus,6.8967,1
Ara glaucogularis,7.0409,1
Ara macao,7.2228,1
Ara militaris,7.2219,1
Ara rubrogenys,7.2074,1
Ara severus,6.4222,1
Arachnothera chrysogenys,6.6776,1
Arachnothera clarae,5.9983,1
Arachnothera crassirostris,6.1427,1
Arachnothera dilutior,5.6554,1
Arachnothera flammifera,5.4470,1
Arachnothera flavigaster,5.9187,1
Arachnothera juliae,6.3718,1
Arachnothera longirostra,6.5285,1
Arachnothera magna,6.4601,1
Arachnothera robusta,6.2459,1
Aramides albiventris,5.7391,1
Aramides axillaris,5.6065,1
Aramides cajaneus,5.6591,1
Aramides calopterus,5.0644,1
Aramides mangle,5.4262,1
Aramides saracura,5.7875,1
Aramides wolfi,4.9711,1
Aramides ypecaha,5.3225,1
Aramidopsis plateni,4.8020,2
Aramus guarauna,5.6089,1
Aratinga auricapillus,6.1721,1
Aratinga jandaya,6.5481,1
Aratinga maculata,6.7846,1
Aratinga nenday,7.3241,1
Aratinga solstitialis,7.2452,1
Aratinga weddellii,6.3299,1
Arborophila ardens,6.2623,1
Arborophila atrogularis,6.1188,1
Arborophila brunneopectus,5.6713,1
Arborophila cambodiana,5.6974,1
Arborophila campbelli,5.5056,1
Arborophila crudigularis,5.7290,1
Arborophila davidi,5.3896,1
Arborophila gingica,6.2397,1
Arborophila hyperythra,5.9253,1
Arborophila javanica,6.0015,1
Arborophila mandellii,5.8759,1
Arborophila orientalis,5.6386,1
Arborophila rolli,4.2805,1
Arborophila rubrirostris,5.7327,1
Arborophila rufipectus,5.4384,2
Arborophila rufogularis,6.3717,1
Arborophila torqueola,5.6613,1
Arcanator orostruthus,4.4215,1
Archboldia papuensis,4.9731,1
Archilochus alexandri,7.0639,1
Archilochus colubris,6.7097,2
Ardea alba,6.1376,1
Ardea cinerea,5.9712,1
Ardea cocoi,5.9331,1
Ardea goliath,5.9512,1
Ardea humbloti,6.2804,1
Ardea insignis,5.1469,1
Ardea melanocephala,5.9439,1
Ardea pacifica,6.0606,1
Ardea purpurea,6.2924,1
Ardea sumatrana,5.3772,1
Ardenna bulleri,4.9858,1
Ardenna carneipes,5.4520,1
Ardenna creatopus,5.4588,1
Ardenna gravis,5.4417,1
Ardenna grisea,5.0384,1
Ardenna pacifica,5.3229,1
Ardenna tenuirostris,5.0628,1
Ardeola bacchus,5.7604,1
Ardeola grayii,5.0461,1
Ardeola idae,5.9004,1
Ardeola ralloides,5.9920,1
Ardeola rufiventris,5.3137,1
Ardeola speciosa,6.3836,1
Ardeotis arabs,5.5731,1
Ardeotis australis,4.7817,1
Ardeotis kori,4.7566,1
Ardeotis nigriceps,5.1486,1
Arenaria interpres,5.8491,1
Arenaria melanocephala,4.7352,1
Argusianus argus,5.4289,1
Argya altirostris,5.9123,2
Argya aylmeri,5.1732,1
Argya earlei,4.8344,1
Argya fulva,4.9003,1
Argya malcolmi,5.0469,1
Argya rubiginosa,5.2621,1
Argya squamiceps,5.0081,1
Argya subrufa,5.6362,1
Arizelocichla chlorigula,4.2116,1
Arizelocichla fusciceps,4.5987,1
Arizelocichla masukuensis,4.9128,1
Arizelocichla montana,5.4549,1
Arizelocichla neumanni,5.1857,1
Arizelocichla nigriceps,5.5282,1
Arizelocichla tephrolaema,5.5147,1
Arremon assimilis,6.0118,1
Arremon atricapillus,5.3002,1
Arremon aurantiirostris,6.2328,1
Arremon basilicus,5.3526,1
Arremon brunneinucha,5.8560,1
Arremon castaneiceps,5.3981,1
Arremon costaricensis,5.7515,1
Arremon crassirostris,6.1633,1
Arremon flavirostris,5.7738,1
Arremon franciscanus,5.4748,1
Arremon perijanus,5.0089,1
Arremon phaeopleurus,4.5024,1
Arremon phygas,5.4786,1
