species,matched_name,authorship,year,source,fetched
Parabuteo unicinctus,Parabuteo unicinctus,"(Temminck, 1824)",1824,gbif,2026-09-05
Pernis apivorus,Pernis apivorus,"(Linnaeus, 1758)",1758,gbif,2026-09-05
Pernis celebensis,Pernis celebensis,"Wallace, 1868",1868,gbif,2026-09-05
Pernis ptilorhynchus,Pernis ptilorhynchus,"(Temminck, 1821)",1821,gbif,2026-09-05
Pernis steerei,Pernis steerei,"W.L.Sclater, 1919",1919,gbif,2026-09-05
Pithecophaga jefferyi,Pithecophaga jefferyi,"Ogilvie-Grant, 1896",1896,gbif,2026-09-05
Polemaetus bellicosus,Polemaetus bellicosus,"(Daudin, 1800)",1800,gbif,2026-09-05
Polyboroides radiatus,Polyboroides radiatus,"(Scopoli, 1786)",1786,gbif,2026-09-05
Polyboroides typus,Polyboroides typus,"A.Smith, 1829",1829,gbif,2026-09-05
Pseudastur albicollis,Pseudastur albicollis,"(Latham, 1790)",1790,gbif,2026-09-05
Pseudastur occidentalis,Pseudastur occidentalis,"(Salvin, 1876)",1876,gbif,2026-09-05
Pseudastur polionotus,Pseudastur polionotus,"(Kaup, 1847)",1847,gbif,2026-09-05
Rostrhamus sociabilis,Rostrhamus sociabilis,"(Vieillot, 1817)",1817,gbif,2026-09-05
Rupornis magnirostris,Rupornis magnirostris,"(Gmelin, 1788)",1788,gbif,2026-09-05
Sarcogyps calvus,Sarcogyps calvus,"(Scopoli, 1786)",1786,gbif,2026-09-05
Spilornis cheela,Spilornis cheela,"(Latham, 1790)",1790,gbif,2026-09-05
Spilornis elgini,Spilornis elgini,"(Blyth, 1863)",1863,gbif,2026-09-05
Spilornis holospilus,Spilornis holospilus,"(Vigors, 1831)",1831,gbif,2026-09-05
Spilornis kinabaluensis,Spilornis kinabaluensis,"W.L.Sclater, 1919",1919,gbif,2026-09-05
Spilornis klossi,Spilornis klossi,"Richmond, 1902",1902,gbif,2026-09-05
Spilornis rufipectus,Spilornis rufipectus,"Gould, 1858",1858,gbif,2026-09-05
Spizaetus isidori,Spizaetus isidori,"(Des Murs, 1845)",1845,gbif,2026-09-05
Spizaetus melanoleucus,Spizaetus melanoleucus,"(Vieillot, 1816)",1816,gbif,2026-09-05
Spizaetus ornatus,Spizaetus ornatus,"(Daudin, 1800)",1800,gbif,2026-09-05
Spizaetus tyrannus,Spizaetus tyrannus,"(Wied-Neuwied, 1820)",1820,gbif,2026-09-05
Stephanoaetus coronatus,Stephanoaetus coronatus,"(Linnaeus, 1766)",1766,gbif,2026-09-05
Terathopius ecaudatus,Terathopius ecaudatus,"(Daudin, 1800)",1800,gbif,2026-09-05
Torgos tracheliotos,Torgos tracheliotos,"(J.R.Forster, 1796)",1796,gbif,2026-09-05
Trigonoceps occipitalis,Trigonoceps occipitalis,"(Burchell, 1824)",1824,gbif,2026-09-05
Urotriorchis macrourus,Urotriorchis macrourus,"(Hartlaub, 1855)",1855,gbif,2026-09-05
Pandion haliaetus,Pandion haliaetus,"(Linnaeus, 1758)",1758,gbif,2026-09-05
Sagittarius serpentarius,Sagittarius serpentarius,"(J.F.Miller, 1779)",1779,gbif,2026-09-05
Aix galericulata,Aix galericulata,"(Linnaeus, 1758)",1758,gbif,2026-09-05
Aix sponsa,Aix sponsa,"(Linnaeus, 1758)",1758,gbif,2026-09-05
Alopochen aegyptiaca,Alopochen aegyptiaca,"(Linnaeus, 1766)",1766,gbif,2026-09-05
Amazonetta brasiliensis,Amazonetta brasiliensis,"(J.F.Gmelin, 1789)",1789,gbif,2026-09-05
Anas acuta,Anas acuta,"Linnaeus, 1758",1758,gbif,2026-09-05
Anas albogularis,Anas albogularis,"(Hume, 1873)",1873,gbif,2026-09-05
Anas andium,Anas andium,"(P.L.Sclater & Salvin, 1873)",1873,gbif,2026-09-05
Anas aucklandica,Anas aucklandica,"(G.R.Gray, 1844)",1844,gbif,2026-09-05
Anas bahamensis,Anas bahamensis,"Linnaeus, 1758",1758,gbif,2026-09-05
Anas bernieri,Anas bernieri,"(Hartlaub, 1860)",1860,gbif,2026-09-05
Anas capensis,Anas capensis,"J.F.Gmelin, 1789",1789,gbif,2026-09-05
Anas carolinensis,Anas carolinensis,"J.F.Gmelin, 1789",1789,gbif,2026-09-05
Anas castanea,Anas castanea,"(Eyton, 1838)",1838,gbif,2026-09-05
Anas chlorotis,Anas chlorotis,"G.R.Gray, 1845",1845,gbif,2026-09-05
Anas crecca,Anas crecca,"Linnaeus, 1758",1758,gbif,2026-09-05
Anas eatoni,Anas eatoni,"(Sharpe, 1875)",1875,gbif,2026-09-05
Anas erythrorhyncha,Anas erythrorhyncha,"J.F.Gmelin, 1789",1789,gbif,2026-09-05
Anas flavirostris,Anas flavirostris,"Vieillot, 1816",1816,gbif,2026-09-05
Anas fulvigula,Anas fulvigula,"Ridgway, 1874",1874,gbif,2026-09-05
Anas georgica,Anas georgica,"J.F.Gmelin, 1789",1789,gbif,2026-09-05
Anas gibberifrons,Anas gibberifrons,"S.Müller, 1842",1842,gbif,2026-09-05
Anas gracilis,Anas gracilis,"Buller, 1869",1869,gbif,2026-09-05
Anas laysanensis,Anas laysanensis,"Rothschild, 1892",1892,gbif,2026-09-05
Anas luzonica,Anas luzonica,"Fraser, 1839",1839,gbif,2026-09-05
Anas melleri,Anas melleri,"P.L.Sclater, 1865",1865,gbif,2026-09-05
Anas nesiotis,Anas nesiotis,"(J.H.Fleming, 1935)",1935,gbif,2026-09-05
Anas platyrhynchos,Anas platyrhynchos,"Linnaeus, 1758",1758,gbif,2026-09-05
Anas poecilorhyncha,Anas poecilorhyncha,"J.R.Forster, 1781",1781,gbif,2026-09-05
Anas rubripes,Anas rubripes,"Brewster, 1902",1902,gbif,2026-09-05
Anas sparsa,Anas sparsa,"Eyton, 1838",1838,gbif,2026-09-05
Anas superciliosa,Anas superciliosa,"J.F.Gmelin, 1789",1789,gbif,2026-09-05
Anas undulata,Anas undulata,"C.F.Dubois, 1838",1838,gbif,2026-09-05
Anas wyvilliana,Anas wyvilliana,"P.L.Sclater, 1878",1878,gbif,2026-09-05
Anas zonorhyncha,Anas zonorhyncha,"Swinhoe, 1866",1866,gbif,2026-09-05
Anser albifrons,Anser albifrons,"(Scopoli, 1769)",1769,gbif,2026-09-05
Anser anser,Anser anser,"(Linnaeus, 1758)",1758,gbif,2026-09-05
Anser brachyrhynchus,Anser brachyrhynchus,"Baillon, 1834",1834,gbif,2026-09-05
Anser caerulescens,Anser caerulescens,"(Linnaeus, 1758)",1758,gbif,2026-09-05
Anser canagicus,Anser canagicus,"(Sevastianov, 1802)",1802,gbif,2026-09-05
Anser cygnoid,Anser cygnoid,"(Linnaeus, 1758)",1758,gbif,2026-09-05
Anser erythropus,Anser erythropus,"(Linnaeus, 1758)",1758,gbif,2026-09-05
