species,family,order,mass_g,range_km2,year,attractiveness,article,views_mean_monthly,works_2015_2024
Mearnsia picina,Apodidae,Caprimulgiformes,42.5,112656.13,1879,5.0719,Philippine spinetail,66.44,8
Mecocerculus calopterus,Tyrannidae,Passeriformes,7.0,58759.68,1859,6.2024,Rufous-winged tyrannulet,16.37,11
Mecocerculus hellmayri,Tyrannidae,Passeriformes,8.0,69941.23,1907,5.2271,Buff-banded tyrannulet,17.39,8
Mecocerculus leucophrys,Tyrannidae,Passeriformes,10.98,885630.6,1837,6.5316,White-throated tyrannulet,29.71,26
Mecocerculus minor,Tyrannidae,Passeriformes,11.0,62120.59,1879,5.7095,Sulphur-bellied tyrannulet,18.18,13
Mecocerculus poecilocercus,Tyrannidae,Passeriformes,7.7,177426.02,1873,6.0044,White-tailed tyrannulet,23.79,15
Mecocerculus stictopterus,Tyrannidae,Passeriformes,9.4,265969.64,1859,5.5165,White-banded tyrannulet,22.62,19
Megabyas flammulatus,Vangidae,Passeriformes,27.96,4083781.25,1855,5.4388,African shrike-flycatcher,79.42,12
Megaceryle alcyon,Alcedinidae,Coraciiformes,148.0,13996585.38,1758,7.3254,Belted kingfisher,5922.93,101
Megaceryle lugubris,Alcedinidae,Coraciiformes,270.99,5024200.4,1834,7.327,Crested kingfisher,572.73,16
Megaceryle maxima,Alcedinidae,Coraciiformes,325.0,13133154.9,1769,6.942,Giant kingfisher,1072.78,19
Megaceryle torquata,Alcedinidae,Coraciiformes,317.0,16295521.19,1766,6.9826,Ringed kingfisher,755.87,86
Megacrex inepta,Rallidae,Gruiformes,1200.0,89575.46,1879,4.6667,New Guinea flightless rail,122.0,9
Megadyptes antipodes,Spheniscidae,Sphenisciformes,5326.24,80802.25,1841,6.9888,Yellow-eyed penguin,3130.06,110
Megalampitta gigantea,Melampittidae,Passeriformes,205.0,8372.65,1899,4.3747,Greater melampitta,54.03,10
Megaloprepia formosa,Columbidae,Columbiformes,118.52,21523.73,1860,5.8564,Scarlet-breasted fruit dove,100.29,5
Megaloprepia magnifica,Columbidae,Columbiformes,185.41,979740.41,1821,6.7977,Wompoo fruit dove,514.02,3
Megalurus palustris,Locustellidae,Passeriformes,44.1,2258407.86,1821,5.0434,Striated grassbird,149.88,17
Megapodius bernsteinii,Megapodiidae,Galliformes,768.57,4283.59,1866,4.7113,Sula megapode,98.56,11
Megapodius cumingii,Megapodiidae,Galliformes,1044.0,457462.43,1853,4.5147,Philippine megapode,260.12,13
Megapodius decollatus,Megapodiidae,Galliformes,666.34,239677.89,1878,4.4664,New Guinea scrubfowl,94.44,9
Megapodius eremita,Megapodiidae,Galliformes,676.67,84419.95,1868,4.3128,Melanesian megapode,114.66,13
Megapodius geelvinkianus,Megapodiidae,Galliformes,642.48,2947.6,1874,4.2637,Biak scrubfowl,85.77,8
Megapodius laperouse,Megapodiidae,Galliformes,308.0,838.35,1823,5.1921,Micronesian megapode,258.4,20
Megapodius layardi,Megapodiidae,Galliformes,768.57,6452.14,1879,4.3615,Vanuatu megapode,104.68,14
Megapodius nicobariensis,Megapodiidae,Galliformes,836.69,1578.46,1846,4.5896,Nicobar megapode,538.67,28
Megapodius reinwardt,Megapodiidae,Galliformes,875.81,795651.65,1823,5.2893,Orange-footed scrubfowl,732.37,39
Megapodius tenimberensis,Megapodiidae,Galliformes,875.81,3225.7,1883,4.4704,Tanimbar megapode,77.13,11
Megarynchus pitangua,Tyrannidae,Passeriformes,69.91,13243099.5,1766,5.7659,Boat-billed flycatcher,186.57,31
Megascops asio,Strigidae,Strigiformes,179.99,4938942.17,1758,7.1787,Eastern screech owl,5675.48,109
Megascops atricapilla,Strigidae,Strigiformes,118.89,990012.51,1822,6.6636,Black-capped screech owl,87.9,29
Megascops barbarus,Strigidae,Strigiformes,69.0,18360.29,1868,6.5116,Bearded screech owl,130.07,57
Megascops choliba,Strigidae,Strigiformes,132.0,13065137.78,1817,6.2292,Tropical screech owl,376.73,128
Megascops clarkii,Strigidae,Strigiformes,158.46,9927.9,1935,7.1597,Bare-shanked screech owl,121.19,14
Megascops cooperi,Strigidae,Strigiformes,149.94,78738.89,1878,6.9807,Pacific screech owl,155.46,26
Megascops gilesi,Strigidae,Strigiformes,132.0,4488.8,2017,6.664,Santa Marta screech owl,92.65,8
Megascops hoyi,Strigidae,Strigiformes,110.0,54416.26,1989,6.9047,Yungas screech owl,61.26,16
Megascops kennicottii,Strigidae,Strigiformes,141.82,3582764.44,1867,7.003,Western screech owl,1532.57,103
Megascops koepckeae,Strigidae,Strigiformes,116.93,160334.46,1982,6.6697,Koepcke's screech owl,85.4,22
Megascops marshalli,Strigidae,Strigiformes,110.0,24727.09,1981,6.9346,Cloud-forest screech owl,77.63,17
Megascops petersoni,Strigidae,Strigiformes,97.5,18835.64,1986,6.8444,Cinnamon screech owl,117.74,12
Megascops roboratus,Strigidae,Strigiformes,126.7,79303.5,1918,6.5188,West Peruvian screech owl,74.54,17
Megascops sanctaecatarinae,Strigidae,Strigiformes,179.72,418281.17,1897,6.8304,Long-tufted screech owl,123.04,21
Megascops seductus,Strigidae,Strigiformes,160.0,90735.21,1941,6.2931,Balsas screech owl,108.28,71
Megascops trichopsis,Strigidae,Strigiformes,88.26,660977.77,1832,6.5133,Whiskered screech owl,499.07,29
Megascops watsonii,Strigidae,Strigiformes,129.0,6312593.48,1849,6.7404,Tawny-bellied screech owl,93.64,17
Megastictus margaritatus,Thamnophilidae,Passeriformes,20.2,1933727.21,1855,4.6082,Pearly antshrike,22.81,10
Megatriorchis doriae,Accipitridae,Accipitriformes,999.99,599836.92,1875,5.4842,Doria's hawk,67.88,11
Megaxenops parnaguae,Furnariidae,Passeriformes,25.0,658330.63,1905,6.0673,Great xenops,39.91,24
Megazosterops palauensis,Zosteropidae,Passeriformes,31.0,413.29,1915,5.2994,Giant white-eye,33.2,10
Meiglyptes jugularis,Picidae,Piciformes,53.38,580432.68,1845,5.8927,Black-and-buff woodpecker,41.88,7
Meiglyptes tukki,Picidae,Piciformes,53.1,772219.58,1839,6.2153,Buff-necked woodpecker,54.21,13
Melaenornis annamarulae,Muscicapidae,Passeriformes,39.9,132494.24,1970,4.6224,Nimba flycatcher,26.93,13
Melaenornis ardesiacus,Muscicapidae,Passeriformes,29.0,60515.81,1936,5.4236,Yellow-eyed black flycatcher,23.4,8
Melaenornis brunneus,Muscicapidae,Passeriformes,26.84,68829.73,1886,5.7163,Angola slaty flycatcher,11.99,5
Melaenornis chocolatinus,Muscicapidae,Passeriformes,23.4,202824.29,1840,5.6668,Abyssinian slaty flycatcher,59.15,6
Melaenornis edolioides,Muscicapidae,Passeriformes,30.7,3825770.16,1837,5.8075,Northern black flycatcher,52.17,10
Melaenornis fischeri,Muscicapidae,Passeriformes,23.4,655062.95,1884,5.6593,White-eyed slaty flycatcher,109.14,7
Melaenornis pammelaina,Muscicapidae,Passeriformes,30.2,4080335.72,1814,5.7813,Southern black flycatcher,136.88,8
Melampitta lugubris,Melampittidae,Passeriformes,42.67,59306.62,1871,5.7898,Lesser melampitta,51.77,12
Melanerpes aurifrons,Picidae,Piciformes,80.77,1414625.35,1829,7.0,Golden-fronted woodpecker,519.76,96
Melanerpes cactorum,Picidae,Piciformes,34.94,942033.85,1840,6.2661,White-fronted woodpecker,77.84,28
Melanerpes candidus,Picidae,Piciformes,108.0,5535970.53,1796,6.8637,White woodpecker,209.27,28
Melanerpes carolinus,Picidae,Piciformes,69.5,3074161.82,1758,7.1918,Red-bellied woodpecker,8940.58,101
Melanerpes chrysauchen,Picidae,Piciformes,52.48,15256.01,1870,6.5672,Golden-naped woodpecker,99.28,18
Melanerpes chrysogenys,Picidae,Piciformes,67.72,161373.56,1839,6.3628,Golden-cheeked woodpecker,89.03,54
Melanerpes cruentatus,Picidae,Piciformes,58.1,7237147.71,1783,5.889,Yellow-tufted woodpecker,117.11,12
Melanerpes erythrocephalus,Picidae,Piciformes,71.6,5461683.2,1758,7.1709,Red-headed woodpecker,7587.48,135
Melanerpes flavifrons,Picidae,Piciformes,57.78,1557771.44,1818,6.4174,Yellow-fronted woodpecker,161.24,32
