sta,plate,lat,lon,dist_km,residual_mm_yr,kept
0TOS,EU,58.9739,12.6353,1550.7,0.587,1
0TOU,EU,56.9602,13.0740,1773.6,0.505,1
0TRE,EU,56.6966,16.1209,1852.0,0.293,1
0TRL,EU,57.0574,12.3128,1751.0,0.675,1
0TRN,EU,58.0285,14.9921,1690.7,1.130,1
0TRO,EU,58.2523,12.2801,1622.6,0.667,1
0TUA,EU,57.5748,16.1099,1757.2,0.633,1
0TUH,EU,60.3367,15.1940,1447.4,1.213,1
0TUN,EU,59.1066,18.0439,1625.5,0.752,1
0TVS,EU,56.6243,16.0433,1858.5,0.718,1
0TYJ,EU,60.2924,13.8702,1431.6,0.661,1
0TYR,EU,59.2219,18.2056,1615.8,0.801,1
0TYS,EU,58.8476,17.2334,1639.3,0.807,1
0ULL,EU,67.0133,21.8152,873.1,0.364,1
0UME,EU,63.5781,19.5096,1179.1,0.257,1
0UPP,EU,59.8652,17.5902,1537.4,0.772,1
0UPV,EU,59.5225,17.9095,1579.0,0.727,1
0VAD,EU,58.0329,12.8181,1654.4,0.601,1
0VAF,EU,59.9442,16.2764,1506.7,0.731,1
0VAG,EU,58.9456,17.4966,1633.4,1.840,0
0VAN,EU,58.6931,12.0350,1571.6,0.911,1
0VAR,EU,57.1013,12.2571,1745.3,0.734,1
0VAS,EU,59.6457,16.5614,1543.2,0.732,1
0VAX,EU,56.4201,13.1153,1832.4,0.617,1
0VEB,EU,64.4020,21.0103,1119.8,0.353,1
0VED,EU,57.4258,15.0863,1756.4,0.488,1
0VEI,EU,56.5516,13.0732,1817.6,0.396,1
0VEN,EU,60.9526,13.9086,1361.9,1.304,1
0VET,EU,57.4261,15.0841,1756.3,1.361,1
0VGG,EU,57.4993,14.1430,1732.6,0.572,1
0VIA,EU,57.6946,12.8188,1690.7,0.579,1
0VIB,EU,62.3738,17.4277,1269.7,0.438,1
0VID,EU,65.8343,20.5108,965.0,0.280,1
0VIK,EU,56.1541,12.5778,1852.0,0.517,1
0VIL,EU,64.6978,16.5599,1011.8,0.910,1
0VIN,EU,64.2022,19.7141,1117.3,0.235,1
0VIT,EU,67.6839,21.6274,804.2,0.340,1
0VMN,EU,57.1197,12.2857,1743.8,1.459,1
0VMO,EU,56.8919,14.8040,1808.5,0.507,1
0VNG,EU,57.6323,11.6049,1677.7,0.666,1
0VOL,EU,55.7018,13.7822,1857.5,0.406,1
0VRE,EU,58.8611,16.7008,1628.9,0.415,1
0VRI,EU,66.4315,20.6262,907.9,0.227,1
0VSE,EU,59.3859,13.8530,1527.0,0.437,1
0VSL,EU,56.7870,14.4407,1813.7,0.921,1
0YST,EU,55.4326,13.8364,1828.2,0.386,1
0YTT,EU,63.3182,14.1684,1115.7,1.010,1
0ZIN,EU,58.8194,15.0886,1608.1,0.756,1
1ALB,EU,65.6740,21.0069,990.9,0.324,1
1ANE,EU,57.8343,14.8146,1708.2,0.759,1
1ARH,EU,59.8607,19.1254,1563.5,0.622,1
1ARK,EU,58.4833,16.9627,1673.5,0.759,1
1ASA,EU,58.2417,12.4231,1625.9,0.768,1
1BAG,EU,57.7209,12.0188,1675.2,0.802,1
1BOD,EU,57.2470,17.0587,1807.2,0.778,1
1BOL,EU,57.6696,12.5706,1689.6,1.125,1
1BOS,EU,64.2553,20.2485,1121.1,0.386,1
1BOT,EU,63.1353,17.7170,1194.4,0.994,1
1FBG,EU,56.9072,12.4909,1770.0,0.923,1
1GAT,EU,60.6668,17.1316,1444.7,0.709,1
1GIM,EU,60.1728,18.1700,1514.1,1.305,1
1GRY,EU,58.1867,16.8009,1702.5,0.649,1
1HAG,EU,60.0350,13.7044,1455.8,0.708,1
1HAR,EU,56.5307,14.4618,1841.5,0.323,1
1HEL,EU,56.0460,12.7101,1865.8,0.598,1
1HLV,EU,56.0137,14.6905,1888.4,0.477,1
1HOL,EU,60.8991,12.5986,1345.5,0.742,1
1IDR,EU,61.8578,12.7133,1246.8,0.722,1
1LAT,EU,65.3825,20.3392,1007.2,0.342,1
1LID,EU,62.7009,16.8024,1224.6,0.791,1
1LJU,EU,56.8379,13.9383,1800.2,0.657,1
1LUG,EU,58.6421,13.6926,1603.2,0.809,1
1LYC,EU,64.6273,18.6672,1055.5,0.593,1
1MAL,EU,55.6011,13.0298,1841.8,0.551,1
1MOL,EU,58.0778,11.4839,1628.1,0.731,1
1MRF,EU,59.2615,17.2251,1595.2,0.871,1
1ROF,EU,64.1916,20.8560,1138.6,0.445,1
1SAT,EU,60.3465,15.7450,1455.2,0.188,1
1SKI,EU,59.8285,15.6895,1509.4,0.651,1
1SKU,EU,55.4772,13.5024,1830.8,0.535,1
1SKV,EU,58.3873,13.8401,1632.8,0.561,1
1SSJ,EU,67.4884,18.3413,757.8,0.932,1
1STV,EU,60.5955,16.5497,1442.6,1.101,1
1SVA,EU,60.9115,16.1427,1402.2,1.774,1
1TRA,EU,57.4842,13.3513,1721.5,0.526,1
1ULR,EU,57.7906,13.4234,1689.8,0.689,1
1VAS,EU,59.6416,16.5709,1543.8,0.584,1
2ARH,EU,59.8607,19.1255,1563.5,0.758,1
2FBG,EU,56.8980,12.4870,1770.9,0.350,1
2FRO,EU,59.4674,15.3637,1542.8,0.941,1
2HAR,EU,56.5307,14.4606,1841.5,0.501,1
2HER,EU,58.0762,13.0180,1652.8,0.542,1
