sta,lat,lon,ve,vn,sve,svn,dur_yr,ngl_plate
TLON,40.078612,-118.711716,-0.017502,-0.011515,0.000603,0.000433,6.5051,NA
TLPA,-30.866959,144.413792,0.023829,0.056727,0.000128,0.000116,12.2218,AU
TLSE,43.560696,1.480893,0.019608,0.016377,0.000097,0.000099,25.6181,EU
TLSG,43.549714,1.485044,0.019535,0.016330,0.000119,0.000120,12.4161,EU
TLT1,24.953574,121.164465,0.030176,-0.009637,0.000680,0.000728,7.9288,PS
TLT2,-25.391343,-70.475106,0.030781,0.019556,0.000309,0.000306,4.8980,SA
TLT3,24.953561,121.164451,0.029308,-0.009374,0.000731,0.000576,9.3963,PS
TLTG,43.117384,5.91316,0.019752,0.015952,0.000261,0.000216,8.8022,EU
TLTN,-41.418652,147.125281,0.015141,0.055630,0.000352,0.000327,4.4682,AU
TLVR,38.866193,-6.784062,0.017998,0.016928,0.000225,0.000220,4.5093,EU
TLWD,-28.488316,149.467749,0.025689,0.060121,0.000911,0.001284,3.7016,AU
TLZ2,47.750917,11.544333,0.020480,0.016181,0.000345,0.000165,5.1965,EU
TM01,41.664495,-87.741403,-0.014964,0.000147,0.000317,0.000313,5.6536,NA
TM02,41.664824,-87.740556,-0.015833,0.000117,0.000157,0.000343,10.2258,NA
TM03,38.165205,23.326757,0.010129,-0.010324,0.008409,0.003851,2.7570,EU
TM04,42.382822,-87.947417,-0.015800,0.000452,0.000306,0.000366,4.5256,NA
TM05,42.057237,-88.031136,-0.015792,0.000187,0.000233,0.000247,16.5475,NA
TM06,42.14724,-88.512956,-0.015357,-0.000353,0.000296,0.000238,16.5475,NA
TM07,42.272971,-88.962348,-0.015735,-0.000001,0.000192,0.000185,19.6742,NA
TM08,41.807427,-88.120656,-0.015426,-0.000290,0.000264,0.000286,11.5482,NA
TM09,38.08789,22.43785,-0.009958,0.008933,0.005220,0.002709,3.2334,EU
TM11,41.905844,-88.774212,-0.015619,-0.000313,0.000147,0.000202,16.5475,NA
TM12,41.821289,-89.470143,-0.015963,-0.000643,0.000153,0.000200,19.6742,NA
TM13,37.897361,21.317287,0.007711,-0.007953,0.001579,0.001259,2.8966,EU
TM14,38.566023,23.285939,0.011887,-0.006997,0.002550,0.001492,2.8775,EU
TM15,37.818743,22.662783,0.002761,-0.010327,0.005172,0.002186,2.8227,EU
TM16,41.982335,-87.947848,-0.016123,0.001115,0.000299,0.000611,4.4353,NA
TM20,37.794286,23.050996,0.006420,-0.011453,0.006447,0.006861,2.7789,EU
TM21,38.658603,20.758351,0.024300,0.005401,0.015059,0.012325,2.7297,EU
TM22,38.152539,22.315672,0.008123,-0.011566,0.002057,0.001980,2.7707,EU
TM24,38.28494,23.864198,0.012213,-0.009187,0.005745,0.003348,1.6180,EU
TM25,37.54257,22.866421,0.007993,-0.012270,0.002310,0.001618,2.8172,EU
TM28,38.372002,23.102436,0.019746,-0.002149,0.006998,0.003452,1.6071,EU
TM34,37.532354,21.708982,0.003310,-0.013984,0.013543,0.003682,1.6153,EU
TM82,38.779358,22.784575,0.021752,-0.013003,0.003547,0.002683,1.6180,EU
TM84,39.116945,22.309226,0.014671,-0.005548,0.005582,0.004396,1.6180,EU
TM86,37.979831,23.674237,0.007592,-0.009195,0.003571,0.002184,2.2341,EU
TM87,36.957853,22.450649,0.006442,-0.012673,0.003323,0.001854,2.8063,EU
TM92,38.60678,23.778031,0.013623,-0.007416,0.004264,0.003228,3.2498,EU
TM96,37.497602,23.437313,0.006925,-0.010337,0.002707,0.001904,2.8692,EU
TMAD,41.79674,-6.769522,0.017768,0.017010,0.001838,0.001626,1.8425,EU
TMAL,22.648924,120.959875,-0.001854,0.000779,0.000864,0.001491,12.5969,SU
TMAP,33.641245,-116.160463,-0.025258,0.003818,0.000151,0.000127,26.3874,PA
TMAR,31.151866,35.365054,0.022356,0.020471,0.000315,0.000294,5.9713,AR
TMB2,39.215648,-121.329537,-0.023521,-0.001223,0.000334,0.000387,3.7700,PA
TMBA,-35.77768,148.011528,0.018685,0.055655,0.000121,0.000117,15.0007,AU
TMBO,-24.771699,146.284096,0.026374,0.056044,0.000155,0.000154,12.0000,AU
TMBU,43.60184,-121.14457,-0.014315,-0.007891,0.000173,0.000175,14.7707,NA
TMCI,47.001227,-65.565989,-0.016416,0.008136,0.000215,0.000233,8.3751,NA
TMCO,-38.764768,-72.613726,0.006604,0.014971,0.000579,0.000281,16.2574,SA
TMDL,44.733987,-79.907915,-0.016021,0.003189,0.000438,0.000604,1.7797,NA
TMG2,40.129959,-105.23307,-0.014977,-0.006367,0.000206,0.000185,8.6544,NA
TMGO,40.130935,-105.232712,-0.015336,-0.005830,0.000172,0.000166,28.8296,NA
TMIC,35.717724,51.411698,0.025297,0.016507,0.002188,0.001598,1.0213,EU
TMID,44.747572,-79.88309,-0.017182,0.002116,0.000230,0.000240,6.5818,NA
TMIG,43.30566,-111.9205,-0.016579,-0.010393,0.000252,0.000244,5.8892,NA
TMIL,43.54522,-79.917657,-0.016314,0.002409,0.000238,0.000196,10.4066,NA
TMIV,43.488134,-80.882327,-0.016567,0.001909,0.000224,0.000240,9.8919,NA
TMO8,41.793288,-88.31025,-0.015529,0.000490,0.000396,0.000677,2.8994,NA
